id_local,coordenada_x_local,coordenada_y_local
1323,440235,4474579
1324,440586,4473995
1326,439065,4472891
1328,441045,4471621
1329,441207,4472954
1330,440299,4472389
1331,442641,4473095
1332,442626,4474620
1333,443096,4475147
1334,442520,4474869
1335,441847,4475456
1337,443330,4475444
1338,442980,4475512
1339,441692,4475365
1340,442961,4474757
1341,443159,4475397
1342,441231,4472695
1344,441362,4472684
1345,439410,4472961
1346,441089,4472418
1347,440615,4472035
1348,441079,4471168
1349,439103,4472591
1350,440469,4472846
1351,440806,4472474
1352,441372,4472800
1353,443589,4476441
1354,442782,4475703
1355,442808,4476092
1356,442847,4476211
1357,442413,4475032
1358,441770,4476527
1359,443426,4475817
1360,442833,4476324
1361,443552,4476219
1362,443642,4475593
1364,441185,4472484
1365,440141,4474173
1366,441040,4471919
1371,439309,4472582
1372,440338,4472717
1373,441219,4471268
1374,441039,4471559
1375,441015,4471643
1376,440076,4472863
1377,440722,4473425
1378,440491,4473997
1380,440575,4474149
1381,439605,4473929
1382,440565,4474699
1383,440618,4474692
1384,442355,4475165
1385,442019,4476157
1386,441564,4476575
1387,443068,4476159
1388,443272,4472627
1389,442625,4472860
1390,443106,4472982
1391,442583,4474421
1392,442086,4472936
1393,442646,4474113
1394,442593,4473207
1395,440666,4474909
1396,440378,4474380
1397,440703,4473758
1398,439542,4475282
1399,440600,4473246
1400,442603,4471683
1401,440063,4472858
1402,440896,4472760
1403,441056,4472094
1404,441036,4471519
1405,440714,4472452
1406,442749,4474275
1407,442388,4474571
1408,443250,4473692
1409,442418,4473101
1410,442887,4472166
1411,442838,4472419
1412,443072,4472256
1413,442682,4473644
1414,442981,4473113
1416,441373,4474409
1417,440788,4471857
1418,439316,4472540
1419,439770,4472407
1420,440355,4472282
1421,439312,4472870
1422,441172,4471946
1424,440177,4473344
1425,440175,4474234
1426,440242,4474725
1427,440457,4475524
1429,439883,4474314
1430,441106,4473779
1431,440768,4474727
1432,440661,4474610
1433,440501,4474145
1434,440707,4474708
1435,440484,4473395
1436,440646,4474980
1437,440957,4473167
1438,439796,4474576
1439,442300,4473171
1440,442560,4474545
1441,443114,4473186
1442,442469,4473127
1443,443074,4473154
1444,442579,4473001
1446,442524,4474109
1447,442474,4474285
1448,442592,4474239
1449,442999,4472929
1450,441522,4474479
1451,443732,4475638
1452,443072,4475991
1453,443427,4476510
1454,443037,4476637
1455,441487,4474769
1457,442511,4476005
1458,441851,4475954
1459,442709,4475896
1460,440258,4474567
1461,440668,4474551
1462,440168,4474193
1463,440432,4474996
1465,440553,4472428
1466,440476,4472097
1467,438954,4473391
1468,441129,4472503
1469,440486,4472338
1470,439622,4472681
1471,442197,4475179
1472,442266,4476426
1473,441972,4476135
1474,442555,4475687
1475,443051,4475233
1476,441733,4474664
1477,442275,4476290
1478,442372,4474931
1479,442667,4475222
1480,443155,4475626
1481,442989,4475648
1483,442968,4476263
1484,442774,4475408
1486,443376,4475318
1487,442781,4476636
1488,442459,4475435
1489,443024,4476039
1490,442827,4475003
1491,443632,4476456
1492,441156,4472772
1493,440829,4472628
1494,440877,4472094
1495,440174,4472248
1496,439048,4473732
1497,440742,4471786
1498,440290,4472557
1499,438839,4473865
1500,439191,4472910
1501,440231,4472814
1503,442218,4475992
1504,442855,4475557
1505,443541,4476663
1506,442678,4474903
1508,441445,4474808
1509,442069,4474794
1511,443082,4475349
1512,441234,4472729
1513,439765,4472707
1514,440649,4472080
1515,441427,4472681
